sensor_a,sensor_b,n_pairs,mean_signed,std_signed,mean_abs,median_abs,p95_abs,pearson_r
A,B,359,-6.362116813659668,11.914145469665527,9.82172679901123,7.0,29.099999999999966,0.26488750127914623
A,C,368,-19.39402198791504,15.248472213745117,21.100543975830078,20.0,43.0,0.18249092470405512
A,D,366,-23.065574645996094,19.76462745666504,29.31147575378418,29.0,41.0,0.2394985682493501
A,E,359,-10.832869529724121,12.857475280761719,13.785515785217285,12.0,32.099999999999966,0.24708691883589554
A,F,368,5.38586950302124,9.267346382141113,8.02717399597168,6.0,20.0,0.31751788055195224
A,H,204,42.42156982421875,5.562366485595703,42.42156982421875,42.0,50.0,
A,K,139,20.12949562072754,4.670178413391113,20.12949562072754,20.0,28.099999999999994,0.013018652670642101
A,L,356,0.2247191071510315,8.840348243713379,5.910112380981445,4.0,16.25,0.229976969932344
A,M,368,19.82065200805664,7.0971832275390625,19.83152198791504,19.0,28.0,0.22249105989180917
A,U,368,-13.220108985900879,13.09135627746582,15.16032600402832,13.0,36.64999999999998,0.2768747044886234
A,V,368,-12.5625,12.457597732543945,14.279891014099121,12.5,34.64999999999998,0.2753214894408812
B,C,361,-13.360111236572266,15.931221961975098,16.224376678466797,13.0,41.0,0.28423735409895867
B,D,359,-16.80780029296875,21.149141311645508,24.08356475830078,23.0,46.099999999999966,0.19719850733505714
B,E,351,-4.515669345855713,14.523355484008789,11.575498580932617,10.0,31.0,0.2848567295849408
B,F,361,11.828254699707031,12.234703063964844,13.612188339233398,12.0,32.0,0.293841601953836
B,H,202,49.663368225097656,12.955198287963867,49.663368225097656,49.0,70.94999999999999,
B,K,140,27.178571701049805,8.662123680114746,27.178571701049805,27.0,40.04999999999998,0.02611024323298466
B,L,354,6.974576473236084,8.228510856628418,7.6016950607299805,5.0,22.349999999999966,0.6414636856625257
B,M,361,26.218835830688477,11.463021278381348,26.573408126831055,26.0,45.0,0.1650697299234459
B,U,361,-6.972299098968506,13.506919860839844,11.626038551330566,9.0,31.0,0.4047076585292404
B,V,361,-6.213296413421631,13.604074478149414,11.52077579498291,9.0,30.0,0.3547195952301322
C,D,368,-3.6331522464752197,23.399734497070312,17.627717971801758,14.0,52.64999999999998,0.13331501275748217
C,E,360,8.48888874053955,13.42509651184082,12.094444274902344,9.0,32.0,0.5339176106657391
C,F,370,24.86216163635254,16.114118576049805,25.456756591796875,24.0,52.0,0.13624110880346435
C,H,205,62.70731735229492,14.261741638183594,62.70731735229492,63.0,85.0,
C,K,140,43.764286041259766,14.127789497375488,43.764286041259766,44.5,65.09999999999997,0.10971322015977025
C,L,358,19.863128662109375,14.757281303405762,20.662012100219727,18.5,45.14999999999998,0.24813145160702685
C,M,370,39.27027130126953,14.314702987670898,39.27567672729492,38.0,63.55000000000001,0.2783414187679042
C,U,370,6.259459495544434,17.277942657470703,14.31351375579834,12.0,37.55000000000001,0.24161283175694126
C,V,370,6.88378381729126,14.728717803955078,12.878377914428711,11.0,32.55000000000001,0.4252480245078236
D,E,359,11.986072540283203,21.799985885620117,20.71030616760254,19.0,47.0,0.19122159519645923
D,F,368,28.5108699798584,18.859172821044922,33.065216064453125,33.0,47.0,0.36165918059361235
D,H,204,68.95098114013672,15.623559951782227,68.95098114013672,71.0,81.0,
D,K,139,35.417266845703125,29.333826065063477,44.021583557128906,47.0,60.0,0.1114186225853241
D,L,356,23.061798095703125,20.308063507080078,29.426965713500977,29.0,45.0,0.19637123608351742
D,M,368,42.940216064453125,19.68879508972168,46.2282600402832,47.0,58.0,0.23760399372461646
D,U,368,9.9320650100708,21.74239730834961,19.682065963745117,17.5,46.0,0.20214904374091472
D,V,368,10.502717018127441,23.338481903076172,20.774456024169922,19.0,55.59999999999991,0.030391462293665298
E,F,360,16.149999618530273,13.474038124084473,17.72222137451172,16.5,39.0,0.23223965816780232
E,H,199,53.81407165527344,12.491629600524902,53.81407165527344,53.0,75.0,
E,K,130,33.03076934814453,12.196430206298828,33.0461540222168,33.0,52.0,-0.01329143020405676
E,L,348,11.117815971374512,12.394401550292969,13.272988319396973,11.0,33.64999999999998,0.3156247008355243
E,M,360,30.827777862548828,12.037593841552734,30.83333396911621,31.0,52.0,0.2973795695517492
E,U,360,-2.2944445610046387,14.15320873260498,11.372221946716309,10.0,29.05000000000001,0.4012788184190133
E,V,360,-1.711111068725586,13.138572692871094,10.36111068725586,9.0,27.0,0.4457664488040831
F,H,205,39.06341552734375,8.405624389648438,39.06341552734375,39.0,52.79999999999998,
F,K,140,10.692856788635254,7.564858913421631,11.021428108215332,10.0,24.049999999999983,0.1240759522689925
F,L,358,-5.279329776763916,9.656975746154785,8.692737579345703,7.0,21.149999999999977,0.2566036230341897
F,M,370,14.40810775756836,8.48804759979248,14.662161827087402,15.0,27.0,0.206847879668077
F,U,370,-18.602703094482422,13.73145866394043,19.299999237060547,17.0,44.55000000000001,0.2539616199792769
F,V,370,-17.978378295898438,13.804017066955566,18.71891975402832,16.0,42.55000000000001,0.16652732584016322
H,K,56,-22.60714340209961,1.0636622905731201,22.60714340209961,22.0,25.0,
H,L,200,-43.755001068115234,6.92928409576416,43.755001068115234,43.0,55.0,
H,M,205,-23.482927322387695,2.6843631267547607,23.482927322387695,24.0,27.0,
H,U,205,-57.2390251159668,13.47722339630127,57.2390251159668,56.0,84.59999999999997,
H,V,205,-54.86829376220703,12.11599349975586,54.86829376220703,54.0,75.59999999999997,
K,L,140,-20.621429443359375,7.215526580810547,20.621429443359375,21.0,33.0,0.07065948461996742
K,M,140,-0.7642857432365417,3.6422338485717773,2.9642856121063232,3.0,6.049999999999983,-0.013717894404039671
K,U,140,-36.54999923706055,12.952839851379395,36.54999923706055,35.0,61.04999999999998,0.12979503257553507
K,V,140,-38.978572845458984,12.225540161132812,38.978572845458984,38.0,63.04999999999998,0.035167031035837876
L,M,358,19.709497451782227,7.1335601806640625,19.72625732421875,19.0,31.0,0.17277335821459341
L,U,358,-13.631284713745117,12.601024627685547,15.0837984085083,13.0,34.0,0.33720681757233967
L,V,358,-12.846368789672852,11.803152084350586,13.9636869430542,12.0,34.0,0.3612289255190754
M,U,370,-33.01081085205078,12.592143058776855,33.01081085205078,32.0,57.55000000000001,0.2856184850870631
M,V,370,-32.3864860534668,12.083463668823242,32.3864860534668,31.5,55.55000000000001,0.20314934319946315
U,V,370,0.6243243217468262,14.278010368347168,11.229729652404785,9.0,28.0,0.3716292931314408
