,A,B,C,D,E,F,H,K,L,M,U,V
A,0.0,0.07127695,0.08191833,0.29076087,0.1182971,0.11605464,0.9277439,0.10535714,0.046377823,0.1327409,0.10522914,0.115819626
B,0.07127695,0.0,0.12417459,0.31694117,0.14322099,0.16213222,0.8877508,0.13041155,0.05894551,0.15402411,0.1432133,0.15969904
C,0.08191833,0.12417459,0.0,0.3298766,0.14286786,0.12432432,0.9572841,0.12876448,0.086592175,0.13783784,0.075675674,0.08378378
D,0.29076087,0.31694117,0.3298766,0.0,0.21080919,0.25149825,0.7343187,0.22833851,0.31388146,0.208255,0.30547884,0.32717392
E,0.1182971,0.14322099,0.14286786,0.21080919,0.0,0.059834834,0.9096206,0.05436508,0.1391527,0.04632132,0.117342345,0.12064564
F,0.11605464,0.16213222,0.12432432,0.25149825,0.059834834,0.0,0.85781145,0.08146718,0.1479239,0.056756757,0.097297296,0.11081081
H,0.9277439,0.8877508,0.9572841,0.7343187,0.9096206,0.85781145,0.0,0.9019164,0.88689196,0.8777851,0.9470007,0.94429797
K,0.10535714,0.13041155,0.12876448,0.22833851,0.05436508,0.08146718,0.9019164,0.0,0.12725459,0.070656374,0.10444015,0.12142857
L,0.046377823,0.05894551,0.086592175,0.31388146,0.1391527,0.1479239,0.88689196,0.12725459,0.0,0.15486939,0.13504454,0.1451306
M,0.1327409,0.15402411,0.13783784,0.208255,0.04632132,0.056756757,0.8777851,0.070656374,0.15486939,0.0,0.113513514,0.12162162
U,0.10522914,0.1432133,0.075675674,0.30547884,0.117342345,0.097297296,0.9470007,0.10444015,0.13504454,0.113513514,0.0,0.05135135
V,0.115819626,0.15969904,0.08378378,0.32717392,0.12064564,0.11081081,0.94429797,0.12142857,0.1451306,0.12162162,0.05135135,0.0
